,Tweets,tweet_id,User,user_id,User_status_count,User_followers,User_friend_count,User_location,fav_count,rt_count,tweet_date,user_verified,User_friends_count
156,"Yeah, just a normal day on the road!!!

Let’s just say that this is the biggest speed bump I’ve ever seen. https://t.co/vl9UlV3nQV",1286205386111033344,Ebba Ericsson,1175749774127050755,149,43,,"Malmö, Sverige",0,0,2020-07-23 07:43:55,False,430.0
157,"RT @lawrence_hutton: There's a price for everything. Your mama should have to you, no good deed goes unpunished. In all seriousness, this i…",1286205337662394368,Lucky With The Straight Right 🥊,1008979142295998464,1408,10012,,United States ,0,5,2020-07-23 07:43:43,False,1093.0
158,BT and Ericsson behind UK's first Industry 4.0 live 5G factory | Light Reading https://t.co/BmZuTJHLtz,1286205311783702528,BSG,1024618807,4553,761,,UK,0,0,2020-07-23 07:43:37,False,476.0
159,Great piece from @ericsson. This is why @IN40Group is helping employers find the best new talent to lead digital tr… https://t.co/YGqVYoeuh9,1286205105516224517,Mo Isap,347748388,1056,1643,,Manchester,0,0,2020-07-23 07:42:48,False,2209.0
160,RT @EricssonDigital: Is 5G NR Stand-Alone (SA) the next big thing for 5G Core? @dez_blanchfield and Ericsson's Anders Lundstrom discuss: ht…,1286204913773551616,Lisa HockadayJackson📲,3297160441,16325,11101,,,0,4,2020-07-23 07:42:02,False,7707.0
161,"RT @adam_tooze: Decoupling Round 2 - Beijing weighs banning Nokia and Ericsson, who are profiting from Huawei’s exclusion, from exporting k…",1286204457538203650,Vitor Carvalho🇬🇧🇧🇷,783142094,102263,317,,Bracknell,0,17,2020-07-23 07:40:13,False,292.0
162,"Antibody testing in England slumps as ‘game-changer’ scheme founders via @FT
 https://t.co/j2lSxggnfz",1286204422113173505,Sally Ericsson,764575190906986496,51578,3036,,"London, England",1,1,2020-07-23 07:40:05,False,3294.0
163,"RT @EricssonAPAC: #VR classes, cooking lessons and a lot more! 

Check out the top ways in which technology can keep you entertained, right…",1286204328110219264,ตี๋น้อยของน้า,850651813690826752,401447,312,,,0,3,2020-07-23 07:39:42,False,600.0
164,"US senators warn UK digital services tax could derail trade talks via @FT
 https://t.co/u9iaWqWDmp",1286204215405219840,Sally Ericsson,764575190906986496,51578,3036,,"London, England",0,0,2020-07-23 07:39:16,False,3294.0
165,"RT @EricssonAPAC: In times of the pandemic, connectivity has emerged as being more important than ever before

As a result, increasing the…",1286203838207111170,豪@「すき」のありかはどこですか？,999355659383488512,21506,61,,💜&💚,0,5,2020-07-23 07:37:46,False,723.0
166,Senior official raised concerns with Alok Sharma over £400m satellite deal https://t.co/DoEQRtaMRT,1286203765025058816,Sally Ericsson,764575190906986496,51578,3036,,"London, England",0,0,2020-07-23 07:37:28,False,3294.0
167,Test and trace failing to contact thousands in England's worst-hit areas https://t.co/Lhwulh8Pe8,1286203528441192448,Sally Ericsson,764575190906986496,51578,3036,,"London, England",1,0,2020-07-23 07:36:32,False,3294.0
168,"See our latest #Mandalay, Mandalay Region #IT job opportunity and click the link in our bio to apply: Network Servi… https://t.co/F4yhGphFvj",1286203102173921280,TMJ-Myanmar Jobs,78408371,80,611,,Myanmar,0,0,2020-07-23 07:34:50,False,276.0
169,"Interested in a job in #Noida, UP? This could be a great fit. Click the link in our bio to apply: Senior Engineer-… https://t.co/vSF8IqsVjl",1286202811399548929,TMJ-ING Jobs,41013335,583,497,,"Gurgaon, India",0,0,2020-07-23 07:33:41,False,276.0
170,"Peter Schrank Times cartoon: July 23 2020

https://t.co/bVJDnpxx9U",1286202803568992256,Sally Ericsson,764575190906986496,51578,3036,,"London, England",0,1,2020-07-23 07:33:39,False,3294.0
171,"RT @adam_tooze: Decoupling Round 2 - Beijing weighs banning Nokia and Ericsson, who are profiting from Huawei’s exclusion, from exporting k…",1286202795683647489,🇭🇰 Kunal Shah 🇺🇸🇬🇧,1020394087,129856,2274,,London + Washington,0,14,2020-07-23 07:33:37,False,5001.0
172,RT @_cdublin: Vodafone is the first mobile operator in Ireland to trial Ericsson's Dynamic Spectrum Sharing tech. #TeamEricsson https://t.c…,1286202774187847682,Paul Cowling,2396551453,5869,1772,,"Stockholm,  Sweden",0,2,2020-07-23 07:33:32,False,1875.0
